종사자수_총소계,연간급여_합계,건물소유면적,건물임차면적,건물무상면적,건물합계면적,매출액,영업비용,인건비,임차료,기타영업비용,영업이익,사업체승수,종사자승수,매출액승수
93,3249,24184,,,24184,4068,14493,4106,67,10320,-10425,1,1,1
425,8560,79947,,,79947,36473,46544,10794,1839,33911,-10071,1,1,1
99,3278,65458,6185,,71643,4705,14280,3911,112,10257,-9575,1,1,1
186,6631,20164,,,20164,13514,22574,8116,69,14389,-9060,1,1,1
162,6941,50396,,,50396,17838,25992,8064,585,17343,-8154,1,1,1
52,2147,58277,,,58277,8544,15300,2605,56,12639,-6756,1,1,1
267,5199,2398,0,0,2398,27705,32548,7632,961,23955,-4843,1,1,1
500,18652,46858,,,46858,280962,285026,24287,45590,215149,-4064,1,1,1
35,1402,1738,,,1738,19856,23894,1899,16237,5758,-4038,1,1,1
18,1359,1320,,,1320,1432,5449,1505,2136,1808,-4017,1,1,1
130,2438,23788,,,23788,5046,8826,2629,68,6129,-3780,1,1,1
118,2931,41520,,,41520,29755,33067,3674,8414,20979,-3312,1,1,1
120,3970,24000,,,24000,20644,23614,4967,1268,17379,-2970,1,1,1
466,2586,,67264,,67264,26253,29174,3241,7424,18509,-2921,1,1,1
29,1292,4750,,,4750,2166,5005,1592,15,3398,-2839,1,1,1
488,15694,16348,,,16348,104776,107479,21688,1307,84484,-2703,1,1,1
40,1776,189683,,,189683,18938,21526,2520,1247,17759,-2588,1,1,1
90,3323,56058,,,56058,18948,21458,4359,130,16969,-2510,1,1,1
230,8029,32499,,,32499,22227,24732,10000,116,14616,-2505,1,1,1
110,3350,53113,,,53113,13109,15503,4215,3885,7403,-2394,1,1,1
59,1440,,,,,3469,5686,1641,2287,1758,-2217,1,1,1
101,3050,39350,0,0,39350,9945,12125,3868,23,8234,-2180,1,1,1
91,2904,30842,,,30842,11262,13441,3585,0,9856,-2179,1,1,1
193,5572,30342,,,30342,13045,15182,6899,18,8265,-2137,1,1,1
4,115,,,,,2390,4499,150,46,4303,-2109,2.5,2.41176,1.8160659
55,1318,,2640,,2640,5946,8016,1509,282,6225,-2070,1,1,1
122,2762,49500,,,49500,10205,12265,3630,307,8328,-2060,1,1,1
321,11120,2644,,,2644,48850,50892,13964,2821,34107,-2042,1,1,1
212,6284,,,,,26235,28247,7853,194,20200,-2012,1,1,1
39,743,12284,,,12284,1041,3015,819,56,2140,-1974,1,1,1
45,1054,25064,,,25064,5572,7541,1348,1523,4670,-1969,1,1,1
99,4182,24448,,,24448,28520,30467,5027,2510,22930,-1947,1,1,1
485,23465,76165,6691,0,82856,73800,75719,30154,11,45554,-1919,1,1,1
58,1502,2594,,,2594,4362,6253,1802,85,4366,-1891,1,1,1
30,1145,10707,,,10707,1575,3448,1388,74,1986,-1873,1,1,1
112,2703,,27174,,27174,9568,11375,3636,9,7730,-1807,1,1,1
92,1608,,1102,,1102,4150,5906,1769,511,3626,-1756,1,1,1
22,321,7800,,,7800,627,2341,431,39,1871,-1714,1,1,1
59,30,,20216,,20216,6704,8327,43,4006,4278,-1623,1,1,1
27,764,2976,,,2976,912,2455,915,4,1536,-1543,1,1,1
22,1178,,1250,,1250,5356,6865,1436,3072,2357,-1509,1,1,1
27,718,15272,,,15272,1069,2570,881,27,1662,-1501,1,1,1
38,1173,24013,,,24013,2535,4014,1468,8,2538,-1479,1,1,1
176,3468,,2000,,2000,13710,15181,3824,1543,9814,-1471,1,1,1
310,4124,,2244,,2244,15459,16849,4778,966,11105,-1390,1,1,1
21,332,5000,,,5000,782,2170,332,5,1833,-1388,1,1,1
29,2055,,16651,,16651,7273,8647,2764,7,5876,-1374,1,1,1
31,688,2365,,,2365,1643,2993,737,172,2084,-1350,1,1,1
60,1694,1980,,,1980,7902,9242,1955,46,7241,-1340,1,1,1
55,2158,6238,,,6238,16369,17610,2774,0,14836,-1241,1,1,1
20,887,,452300,,452300,3399,4576,1074,78,3424,-1177,1.6,1.5841,1.532989
20,457,11054,,,11054,1163,2329,554,1,1774,-1166,1,1,1
73,2196,,28503,,28503,4549,5700,2671,0,3029,-1151,1,1,1
59,1032,,1672,,1672,2663,3789,1134,328,2327,-1126,1,1,1
77,2781,37165,,,37165,5300,6418,3073,0,3345,-1118,1,1,1
13,313,,9219,,9219,3294,4406,354,2180,1872,-1112,1,1,1
116,3439,20878,,,20878,14355,15456,4297,106,11053,-1101,1,1,1
7,331,,2310,,2310,5370,6461,343,1309,4809,-1091,3.33333,3.02273,1.5185888
130,2562,,2640,,2640,10128,11214,2825,1140,7249,-1086,1,1,1
142,4615,7183,,,7183,13747,14829,4999,30,9800,-1082,1,1,1
18,521,,4950,,4950,1111,2176,543,0,1633,-1065,1,1,1
34,812,,4455,,4455,1893,2892,837,6,2049,-999,1.14286,1.12565,1.1994481
1,,3300,,,3300,6,1000,0,0,1000,-994,89.04167,70.87302,42.9411123
72,1837,17442,,,17442,5159,6134,2090,40,4004,-975,1,1,1
18,1032,5451,0,0,5451,3926,4889,1226,2265,1398,-963,1,1,1
74,2108,36355,,,36355,10761,11720,2612,9,9099,-959,1,1,1
22,621,7163,,,7163,1343,2297,683,69,1545,-954,1,1,1
41,2441,,759,,759,15604,16554,2758,1063,12733,-950,1,1,1
160,4438,15078,,,15078,12804,13751,5445,120,8186,-947,1,1,1
18,474,3300,,,3300,1197,2133,572,3,1558,-936,1.3,1.3268,1.257182
158,5495,,,,,16777,17692,6322,208,11162,-915,1,1,1
